Ì,à,ñ,ñ,è,
â,û, ,ä,ë,
ÿ, ,ò,ð,å,

Ì,à,ñ,ñ,è,
â,û, ,ä,ë,
ÿ, ,ï,ð,î,

0,1,1,1,0,
1,1,1,0,1,
1,1,1,1,1,

1,1,0,1,1,
1,1,1,0,0,
1,1,0,0,0,

1,1,0,1,1,
1,1,0,0,0,
0,1,1,1,0,

0,0,0,0,1,
1,0,0,1,1,
0,0,0,1,1,

0,0,0,0,0,
0,0,1,1,0,
1,0,1,0,1,

0,1,0,1,0,
0,0,1,0,0,
1,0,1,0,0,

0,0,0,1,0,
0,1,1,0,0,
1,0,1,0,1,

0,0,1,0,1,
0,0,0,1,0,
1,0,1,1,1,

1,1,1,0,1,
1,0,0,1,0,
0,1,1,1,0,

1,1,1,0,0,
0,1,0,1,1,
1,1,0,0,0,

Ì,à,ñ,ñ,è,
â,û, ,ä,ë,
ÿ, ,ò,ð,å,

Ì,à,ñ,ñ,è,
â,û, ,ä,ë,
ÿ, ,ï,ð,î,

1,1,1,1,1,
1,0,0,0,1,
1,0,1,1,1,

1,1,1,0,0,
0,1,1,0,1,
0,0,0,1,0,

0,0,0,0,1,
1,0,1,0,1,
1,1,0,0,1,

0,0,0,1,0,
0,0,0,0,0,
0,1,1,1,0,

1,1,1,1,0,
1,1,1,0,0,
0,0,0,0,0,

1,1,1,0,0,
0,0,0,0,1,
1,0,1,1,1,

1,1,1,0,1,
0,1,0,0,1,
1,0,0,0,0,

0,1,1,0,1,
1,0,0,0,1,
1,1,1,1,0,

1,1,0,1,1,
0,0,1,1,0,
1,0,0,0,1,

1,1,1,1,1,
1,1,0,0,1,
1,1,1,0,1,

Ì,à,ñ,ñ,è,
â,û, ,ä,ë,
ÿ, ,ò,ð,å,

Ì,à,ñ,ñ,è,
â,û, ,ä,ë,
ÿ, ,ï,ð,î,

1,1,1,1,1,
1,1,1,1,1,
1,1,1,0,1,

0,0,1,1,1,
0,1,0,1,0,
1,0,1,1,1,

1,0,1,0,1,
1,1,1,1,0,
1,0,1,1,1,

1,1,1,0,0,
1,1,1,0,1,
1,0,1,0,0,

0,1,0,1,0,
1,0,1,0,0,
0,0,0,1,1,

1,1,0,1,0,
0,1,0,1,0,
0,0,0,0,1,

0,0,0,0,0,
0,1,0,1,0,
0,0,0,1,1,

0,0,0,0,0,
0,0,1,1,0,
1,0,1,0,1,

0,0,1,0,0,
0,0,1,0,1,
1,1,1,1,0,

1,0,1,1,0,
0,0,0,0,1,
0,1,1,0,0,

1,0,1,1,1,
1,1,1,1,1,
1,1,1,1,1,

0,1,0,0,1,
1,1,0,1,0,
0,0,0,1,0,

0,0,0,1,0,
0,1,1,1,1,
0,1,1,0,0,

1,1,1,0,1,
0,0,1,0,1,
0,0,1,0,0,

1,1,1,0,1,
1,0,0,0,1,
0,0,1,1,0,

0,1,0,1,1,
0,1,0,0,1,
0,0,0,1,1,

0,1,0,1,0,
1,1,1,0,0,
0,1,0,0,0,

1,0,0,1,1,
0,0,0,0,1,
1,1,1,0,0,

0,0,0,1,1,
0,1,0,1,1,
0,0,1,1,0,

1,1,1,1,0,
1,0,0,0,1,
1,1,0,1,0,

